Date,Visits
01-01-2020,1554
01-02-2020,2820
01-03-2020,2970
01-04-2020,2111
01-05-2020,2393
01-06-2020,3704
01-07-2020,3760
01-08-2020,3698
01-09-2020,4243
01-10-2020,3177
01-11-2020,2361
01-12-2020,2762
1/13/2020,4298
1/14/2020,3838
1/15/2020,3754
1/16/2020,3817
1/17/2020,3175
1/18/2020,2336
1/19/2020,2597
1/20/2020,3715
1/21/2020,4459
1/22/2020,4483
1/23/2020,4225
1/24/2020,3111
1/25/2020,2353
1/26/2020,3198
1/27/2020,4432
1/28/2020,4664
1/29/2020,4471
1/30/2020,4486
1/31/2020,3527
02-01-2020,2514
02-02-2020,2993
02-03-2020,4728
02-04-2020,4883
02-05-2020,5071
02-06-2020,4638
02-07-2020,3757
02-08-2020,2761
02-09-2020,3423
02-10-2020,5066
02-11-2020,4928
02-12-2020,4996
2/13/2020,5004
2/14/2020,3675
2/15/2020,2556
2/16/2020,3732
2/17/2020,4958
2/18/2020,4869
2/19/2020,5224
2/20/2020,4890
2/21/2020,3678
2/22/2020,2456
2/23/2020,3444
2/24/2020,5000
2/25/2020,5496
2/26/2020,5059
2/27/2020,4813
2/28/2020,3810
2/29/2020,2682
03-01-2020,3332
03-02-2020,4872
03-03-2020,5097
03-04-2020,4714
03-05-2020,5048
03-06-2020,3698
03-07-2020,2670
03-08-2020,3416
03-09-2020,4731
03-10-2020,4820
03-11-2020,4813
03-12-2020,4393
3/13/2020,3316
3/14/2020,2416
3/15/2020,2934
3/16/2020,2732
3/17/2020,3805
3/18/2020,3748
3/19/2020,3678
3/20/2020,3322
3/21/2020,2701
3/22/2020,3263
3/23/2020,4105
3/24/2020,4156
3/25/2020,4153
3/26/2020,4256
3/27/2020,3818
3/28/2020,3045
3/29/2020,4079
3/30/2020,4899
3/31/2020,4943
04-01-2020,4907
04-02-2020,4933
04-03-2020,4665
04-04-2020,3366
04-05-2020,3976
04-06-2020,4981
04-07-2020,5331
04-08-2020,5331
04-09-2020,5063
04-10-2020,4252
04-11-2020,3656
04-12-2020,4152
4/13/2020,5089
4/14/2020,5491
4/15/2020,5665
4/16/2020,5423
4/17/2020,4688
4/18/2020,4055
4/19/2020,4830
4/20/2020,5908
4/21/2020,5633
4/22/2020,5786
4/23/2020,5967
4/24/2020,4937
4/25/2020,4327
4/26/2020,5086
4/27/2020,6038
4/28/2020,6324
4/29/2020,6062
4/30/2020,5520
05-01-2020,4670
05-02-2020,4171
05-03-2020,4716
05-04-2020,5939
05-05-2020,6361
05-06-2020,6659
05-07-2020,6264
05-08-2020,5359
05-09-2020,4593
05-10-2020,5092
05-11-2020,6563
05-12-2020,6124
5/13/2020,5817
5/14/2020,6057
5/15/2020,4958
5/16/2020,3651
5/17/2020,4248
5/18/2020,5624
5/19/2020,5595
5/20/2020,5213
5/21/2020,5156
5/22/2020,4350
5/23/2020,3446
5/24/2020,3945
5/25/2020,4639
5/26/2020,5224
5/27/2020,5242
5/28/2020,4939
5/29/2020,4387
5/30/2020,3327
5/31/2020,3692
06-01-2020,4734
06-02-2020,4727
06-03-2020,4994
06-04-2020,4767
06-05-2020,4124
06-06-2020,3230
06-07-2020,3906
06-08-2020,4895
06-09-2020,4871
06-10-2020,4989
06-11-2020,4633
06-12-2020,4475
6/13/2020,2967
6/14/2020,3507
6/15/2020,4337
6/16/2020,4470
6/17/2020,4439
6/18/2020,4895
6/19/2020,3924
6/20/2020,2827
6/21/2020,3481
6/22/2020,4627
6/23/2020,4561
6/24/2020,4626
6/25/2020,4137
6/26/2020,3555
6/27/2020,2671
6/28/2020,3486
6/29/2020,4000
6/30/2020,3828
07-01-2020,3935
07-02-2020,3633
07-03-2020,2997
07-04-2020,2194
07-05-2020,2948
07-06-2020,4049
07-07-2020,3792
07-08-2020,4029
07-09-2020,3945
07-10-2020,3523
07-11-2020,2646
07-12-2020,3454
7/13/2020,3703
7/14/2020,3680
7/15/2020,3479
7/16/2020,3756
7/17/2020,3289
7/18/2020,2416
7/19/2020,2793
7/20/2020,3749
7/21/2020,3786
7/22/2020,4002
7/23/2020,3823
7/24/2020,3430
7/25/2020,2400
7/26/2020,2835
7/27/2020,4001
7/28/2020,3795
7/29/2020,3903
7/30/2020,3397
7/31/2020,3005
08-01-2020,2305
08-02-2020,2696
08-03-2020,3866
08-04-2020,3826
08-05-2020,3673
08-06-2020,3660
08-07-2020,3136
08-08-2020,2223
08-09-2020,2623
08-10-2020,3638
08-11-2020,3740
08-12-2020,3767
8/13/2020,3621
8/14/2020,2971
8/15/2020,2221
8/16/2020,2724
8/17/2020,3456
8/18/2020,3581
8/19/2020,2064
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
